0~>Two secs Ted~False~0.3
1~>X into one won't go~False~0.1
2~>Caught napping~False~0.15
3~>Tank slapper~False~0.05
4~>Big lock up there!~False~0.3
5~>Abreast / astern~False~0.05
6~Ham or Ver 2 stop~False~0.6
7~Williams into top 10~False~0.2
8~Black and white flag~False~0.15
9~10s, drive through or stop go penalty~False~0.2
10~3+ DNFs~False~0.3
11~4+ DNFs~False~0.25
12~2+ SCs~False~0.25
13~Ric into top 5~False~0.15
14~Ric gets lapped~False~0.8
15~Merc finish 1-2~False~0.6
